Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-10 14:30,91,53,603,0
Baja California,2020-04-10 14:30,530,258,710,17
Baja California Sur,2020-04-10 14:30,333,85,329,2
Campeche,2020-04-10 14:30,7,15,67,1
Chiapas,2020-04-10 14:30,69,38,202,1
Chihuahua,2020-04-10 14:30,101,54,187,12
Ciudad de México,2020-04-10 14:30,2188,1040,3505,46
Coahuila,2020-04-10 14:30,932,143,621,7
Colima,2020-04-10 14:30,24,7,82,0
Durango,2020-04-10 14:30,113,16,225,4
Guanajuato,2020-04-10 14:30,254,78,1308,1
Guerrero,2020-04-10 14:30,141,54,238,6
Hidalgo,2020-04-10 14:30,28,51,353,7
Jalisco,2020-04-10 14:30,839,144,1980,9
Michoacán,2020-04-10 14:30,170,46,366,7
Morelos,2020-04-10 14:30,74,35,223,7
México,2020-04-10 14:30,758,470,1661,16
Nayarit,2020-04-10 14:30,40,19,133,3
Nuevo León,2020-04-10 14:30,997,110,1429,5
Oaxaca,2020-04-10 14:30,76,41,279,2
Puebla,2020-04-10 14:30,399,214,554,15
Queretaro,2020-04-10 14:30,61,55,384,3
Quintana Roo,2020-04-10 14:30,234,163,355,13
San Luis Potosí,2020-04-10 14:30,165,48,660,4
Sinaloa,2020-04-10 14:30,376,171,472,18
Sonora,2020-04-10 14:30,181,55,361,5
Tabasco,2020-04-10 14:30,317,134,489,9
Tamaulipas,2020-04-10 14:30,122,48,328,3
Tlaxcala,2020-04-10 14:30,96,34,242,1
Veracruz,2020-04-10 14:30,406,63,750,3
Yucatán,2020-04-10 14:30,129,88,427,4
Zacatecas,2020-04-10 14:30,49,14,226,2
