Estado,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14
Aguascalientes,53,43,75,122,164,183,111,81,91,89,77,98,66
Baja California,213,231,242,201,245,345,422,467,530,548,511,562,590
Baja California Sur,62,78,81,92,141,149,270,313,333,288,266,200,198
Campeche,13,21,9,10,15,12,17,10,7,5,31,42,41
Chiapas,45,46,67,52,65,80,77,80,69,63,50,54,67
Chihuahua,24,39,42,29,52,68,76,94,101,121,136,141,186
Ciudad de México,757,862,938,697,1100,1350,1782,2185,2188,2152,1323,1518,2049
Coahuila,179,226,303,222,391,550,753,824,932,818,800,827,911
Colima,12,16,20,19,22,19,30,30,24,22,25,32,26
Durango,28,26,51,48,78,84,113,116,113,83,61,74,89
Guanajuato,200,237,214,162,164,242,286,290,254,233,174,158,172
Guerrero,102,108,118,112,128,145,149,141,141,140,114,120,142
Hidalgo,65,71,82,73,79,87,91,63,28,28,21,32,33
Jalisco,638,686,769,774,703,752,862,814,839,704,603,620,620
Michoacán,71,78,67,49,82,134,181,195,170,139,117,142,163
Morelos,31,45,62,45,57,51,62,56,74,72,70,73,79
México,406,430,488,434,572,609,793,831,758,782,693,770,904
Nayarit,27,46,33,18,27,37,40,41,40,33,31,36,36
Nuevo León,80,145,165,203,142,333,551,687,997,1342,1552,1727,1919
Oaxaca,46,73,56,30,81,61,76,81,76,58,47,57,60
Puebla,122,178,220,199,222,262,340,409,399,308,253,256,312
Queretaro,67,52,59,37,48,58,68,73,61,67,51,77,68
Quintana Roo,97,119,115,110,148,171,200,217,234,186,201,203,201
San Luis Potosí,104,152,125,111,154,187,156,169,165,159,145,101,115
Sinaloa,181,234,253,248,271,329,365,390,376,279,215,229,293
Sonora,148,152,131,114,141,176,173,194,181,159,117,115,158
Tabasco,277,326,352,342,331,293,362,360,317,310,299,336,343
Tamaulipas,70,80,83,67,82,111,102,126,122,142,125,134,178
Tlaxcala,76,78,71,72,75,83,92,94,96,93,85,79,149
Veracruz,353,403,430,404,412,429,395,443,406,419,387,381,418
Yucatán,72,69,61,68,64,88,148,170,129,95,74,96,147
Zacatecas,34,46,45,45,39,48,45,61,49,46,43,51,59
